"No.","Radio ID","Name","Call Type","Call Alert"
"1","5031268","DMR Tech Net","Group Call","None"
"2","4000","Disconnect","Group Call","None"
"3","9","Local 9","Group Call","None"
"4","51","Mi5-Statewide1","Group Call","None"
"5","52","Mi5-Statewide2","Group Call","None"
"6","3126","Michigan","Group Call","None"
"7","31266","Michigan Nets","Group Call","None"
"8","9990","Parrot","Private Call","None"
"9","5004000","TGIF Disconnect","Group Call","None"
"10","5000777","TGIF Scan","Group Call","None"
"11","3200449","Who Cares","Group Call","None"
"12","91","Worldwide","Group Call","None"
"13","6","XLX 6","Group Call","None"
"14","64001","XLX A","Private Call","None"
"15","64002","XLX B","Private Call","None"
"16","7000239","Y Who Cares","Group Call","None"
"17","7028298","Y Zombie","Group Call","None"
