Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Universal Manufacturing,443.675000,+,5.000000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8PBX near Clinton, Macomb County, Michigan OPEN YSF Reflector 88240 ZOMBIE-ALERT",,,,
1,KC8UMP,443.625000,+,5.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,5.00,,50W,"KC8UMP near Mount Clemens, Macomb County, Michigan OPEN",,,,
2,KD8EYF,443.950000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"KD8EYF near Mount Clemens, Macomb County, Michigan OPEN c-Bridge partner with DMR-MARC",,,,
3,WA8MAC,147.200000,+,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA8MAC near Mount Clemens, Macomb County, Michigan OPEN",,,,
4,KA8DCJ,442.850000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KA8DCJ near Harrison, Clare County, Michigan OPEN",,,,
5,K8UO,444.775000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"K8UO near Mount Clemens, Macomb County, Michigan OPEN",,,,
6,K8UO,147.180000,+,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8UO near Utica, Macomb County, Michigan OPEN",,,,
7,N8LC,147.080000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8LC near Sterling Heights, Macomb County, Michigan OPEN",,,,
8,N8LC,442.925000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8LC near Sterling Heights, Macomb County, Michigan OPEN",,,,
9,K8FBI,442.075000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8FBI near Romeo, Macomb County, Michigan OPEN",,,,
10,K8FBI,442.225000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8FBI near Richmond, Macomb County, Michigan OPEN",,,,
11,N8EDV,147.220000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8EDV near Roseville, Macomb County, Michigan OPEN",,,,
12,WA8BRO,147.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WA8BRO near Oakland, Oakland County, Michigan OPEN Primarily Connected to WA8BRO Warren, MI - Fusion Machine on Room #01841  Affiliated with KA8WYN 443.550 Warren, MI 107.2PL",,,,
13,K8FBI,442.600000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8FBI near Warren, Macomb County, Michigan OPEN",,,,
14,WA8BRO,442.037500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"WA8BRO near Warren, Macomb County, Michigan OPEN DMR 313530 Repeater, linked to Fusion Repeater, Base Room #01946 - WA8BRO CQ-Michigan - Backyard Repeater Owners of America FUSION, Digital Only Linked to BM TG3198726. CQ-MICHIGAN, Dstar REF089C",,,,
15,KA8WYN,443.550000,+,5.000000,Tone,107.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KA8WYN near Warren, Macomb County, Michigan OPEN",,,,
16,PNC Bank Bldg,147.140000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8KD near Troy, Oakland County, Michigan OPEN",,,,
17,W8VPC,441.500000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"W8VPC near Royal Oak, Oakland County, Michigan OPEN",,,,
18,K8DXA,145.130000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"K8DXA near Lake Orion, Oakland County, Michigan OPEN",,,,
19,K8DXA,444.262500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DV,12.50,,50W,"K8DXA near Lake Orion, Oakland County, Michigan OPEN",,,,
20,W8VPC,446.120000,,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W8VPC near Royal Oak, Oakland County, Michigan OPEN",,,,
