Z-4,CH mode,CH Name,RX Freq,TX Freq,Power,RX Only,Alarm ACK,Prompt,PCT,RX TS,TX TS,RX CC,TX CC,Msg Type,TX Policy,RX Group,Encryption List,Scan List,Contacts,EAS,Relay Monitor,Relay mode,Bandwidth,RX QT/DQT,TX QT/DQT,APRS
1,Digital,Hacklebu-1,442.08750,447.08750,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide,Off,Off,Mi5 SW1,Off,Off,Off,12.5,Off,Off,Off
2,Digital,Hacklebu-2,442.08750,447.08750,High,Off,Off,Off,Patcs,Slot 2,Slot 2,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide,Off,Off,Mi5 SW1,Off,Off,Off,12.5,Off,Off,Off
3,Digital,Lincoln-1,442.01250,447.01250,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide,Off,Off,Mi5 SW1,Off,Off,Off,12.5,Off,Off,Off
4,Digital,Lincoln-2,442.01250,447.01250,High,Off,Off,Off,Patcs,Slot 2,Slot 2,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide,Off,Off,Mi5 SW1,Off,Off,Off,12.5,Off,Off,Off
5,Digital,Mackinaw-1,444.62500,449.62500,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide,Off,Off,Mi5 SW1,Off,Off,Off,12.5,Off,Off,Off
6,Digital,Mackinaw-2,444.62500,449.62500,High,Off,Off,Off,Patcs,Slot 2,Slot 2,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide,Off,Off,Mi5 SW1,Off,Off,Off,12.5,Off,Off,Off
7,Digital,Mio-1,444.70000,449.70000,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide,Off,Off,Mi5 SW1,Off,Off,Off,12.5,Off,Off,Off
8,Digital,Mio-2,444.70000,449.70000,High,Off,Off,Off,Patcs,Slot 2,Slot 2,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide,Off,Off,Mi5 SW1,Off,Off,Off,12.5,Off,Off,Off
9,Digital,Petoskey-1,444.25000,449.25000,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide,Off,Off,Mi5 SW1,Off,Off,Off,12.5,Off,Off,Off
10,Digital,Petoskey-2,444.25000,449.25000,High,Off,Off,Off,Patcs,Slot 2,Slot 2,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide,Off,Off,Mi5 SW1,Off,Off,Off,12.5,Off,Off,Off
11,Digital,SaultSte-1,444.00000,449.00000,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide,Off,Off,Mi5 SW1,Off,Off,Off,12.5,Off,Off,Off
12,Digital,SaultSte-2,444.00000,449.00000,High,Off,Off,Off,Patcs,Slot 2,Slot 2,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide,Off,Off,Mi5 SW1,Off,Off,Off,12.5,Off,Off,Off
