Z-4,CH mode,CH Name,RX Freq,TX Freq,Power,RX Only,Alarm ACK,Prompt,PCT,RX TS,TX TS,RX CC,TX CC,Msg Type,TX Policy,RX Group,Encryption List,Scan List,Contacts,EAS,Relay Monitor,Relay mode,Bandwidth,RX QT/DQT,TX QT/DQT,APRS
1,Digital,Mi5-Mtc-TS,443.95000,448.95000,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Polite to CC,Mi5 Swide ,Off,Off,Mi5 SW1 ,Off,Off,Off,12.5,Off,Off,Off
2,Digital,Mi5-Mtc-TS,443.95000,448.95000,High,Off,Off,Off,Patcs,Slot 2,Slot 2,1,1,Unconfirmed Data,Impolite,Mi5 Swide ,Off,Off,Mi5 SW1 ,Off,Off,Off,12.5,Off,Off,Off
3,Digital,Mi5-GR-TS1,444.25000,449.25000,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Impolite,Mi5 Swide ,Off,Off,Mi5 SW1 ,Off,Off,Off,12.5,Off,Off,Off
4,Digital,Mi5-GR-TS2,444.25000,449.25000,High,Off,Off,Off,Patcs,Slot 2,Slot 2,1,1,Unconfirmed Data,Impolite,Mi5 Swide ,Off,Off,Mi5 SW1 ,Off,Off,Off,12.5,Off,Off,Off
5,Digital,Mi5-Fen-TS,443.92500,448.92500,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Impolite,Mi5 Swide ,Off,Off,Mi5 SW1 ,Off,Off,Off,12.5,Off,Off,Off
6,Digital,Mi5-Fen-TS,443.92500,448.92500,High,Off,Off,Off,Patcs,Slot 2,Slot 2,1,1,Unconfirmed Data,Impolite,Mi5 Swide ,Off,Off,Mi5 SW1 ,Off,Off,Off,12.5,Off,Off,Off
7,Digital,Mi5-Det-TS,444.00000,449.00000,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Impolite,Mi5 Swide ,Off,Off,Mi5 SW1 ,Off,Off,Off,12.5,Off,Off,Off
8,Digital,Mi5-Det-TS,444.00000,449.00000,High,Off,Off,Off,Patcs,Slot 2,Slot 2,1,1,Unconfirmed Data,Impolite,Mi5 Swide ,Off,Off,Mi5 SW1 ,Off,Off,Off,12.5,Off,Off,Off
9,Digital,Mi5-Novi-T,442.21250,447.21250,High,Off,Off,Off,Patcs,Slot 1,Slot 1,1,1,Unconfirmed Data,Impolite,Mi5 Swide ,Off,Off,Mi5 SW1 ,Off,Off,Off,12.5,Off,Off,Off
10,Digital,Mi5-Novi-T,442.21250,447.21250,High,Off,Off,Off,Patcs,Slot 2,Slot 2,1,1,Unconfirmed Data,Impolite,Mi5 Swide ,Off,Off,Mi5 SW1 ,Off,Off,Off,12.5,Off,Off,Off
