No.,Name,ID,Type
1,DMR Tech Net,5031268,Group Call
2,Disconnect,4000,Group Call
3,Local 9,9,Group Call
4,Mi5-Statewide1,51,Group Call
5,Mi5-Statewide2,52,Group Call
6,Michigan,3126,Group Call
7,Michigan Nets,31266,Group Call
8,Parrot,9990,Private Call
9,TGIF Disconnect,5004000,Group Call
10,TGIF Scan,5000777,Group Call
11,Who Cares,3200449,Group Call
12,Worldwide,91,Group Call
13,XLX 6,6,Group Call
14,XLX A,64001,Private Call
15,XLX B,64002,Private Call
16,Y Who Cares,7000239,Group Call
17,Y Zombie,7028298,Group Call
