Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,KC8UMP,443.625000,+,5.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,FM,5.00,,50W,"KC8UMP near Mount Clemens, Macomb County, Michigan OPEN",,,,
1,KD8EYF,443.950000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"KD8EYF near Mount Clemens, Macomb County, Michigan OPEN c-Bridge partner with DMR-MARC",,,,
2,WA8MAC,147.200000,+,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA8MAC near Mount Clemens, Macomb County, Michigan OPEN",,,,
3,KA8DCJ,442.850000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KA8DCJ near Harrison, Clare County, Michigan OPEN",,,,
4,K8UO,147.180000,+,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8UO near Utica, Macomb County, Michigan OPEN",,,,
5,N8LC,147.080000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8LC near Sterling Heights, Macomb County, Michigan OPEN",,,,
6,K8FBI,442.075000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8FBI near Romeo, Macomb County, Michigan OPEN",,,,
7,K8FBI,442.225000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8FBI near Richmond, Macomb County, Michigan OPEN",,,,
8,N8EDV,147.220000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8EDV near Roseville, Macomb County, Michigan OPEN",,,,
9,K8FBI,442.600000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K8FBI near Warren, Macomb County, Michigan OPEN",,,,
10,WA8BRO,442.037500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"WA8BRO near Warren, Macomb County, Michigan OPEN DMR 313530 Repeater, linked to Fusion Repeater, Base Room #01946 - WA8BRO CQ-Michigan - Backyard Repeater Owners of America FUSION, Digital Only Linked to BM TG3198726. CQ-MICHIGAN, Dstar REF089C",,,,
